Time,Temperature,Humidity(%RH),MAC address(49:22:11:08:0C:D6)
13/04/2024 17:10,31.42,78.76,
13/04/2024 17:00,31.59,78.4,
13/04/2024 16:50,31.56,78.48,
13/04/2024 16:40,31.53,78.55,
13/04/2024 16:30,31.51,78.62,
13/04/2024 16:20,31.48,78.69,
13/04/2024 16:10,31.45,78.77,
13/04/2024 16:00,31.43,78.84,
13/04/2024 15:50,31.4,78.91,
13/04/2024 15:40,31.37,78.98,
13/04/2024 15:30,31.35,79.05,
13/04/2024 15:20,31.59,78.91,
13/04/2024 15:10,31.55,78.97,
13/04/2024 15:00,31.51,79.02,
13/04/2024 14:50,31.47,79.07,
13/04/2024 14:40,31.43,79.12,
13/04/2024 14:30,31.39,79.17,
13/04/2024 14:20,31.35,79.22,
13/04/2024 14:10,31.31,79.27,
13/04/2024 14:00,31.27,79.32,
13/04/2024 13:50,31.23,79.37,
13/04/2024 13:40,31.23,79.5,
13/04/2024 13:30,31.27,79.43,
13/04/2024 13:20,31.31,79.37,
13/04/2024 13:10,31.35,79.31,
13/04/2024 13:00,31.39,79.24,
13/04/2024 12:50,31.43,79.18,
13/04/2024 12:40,31.47,79.12,
13/04/2024 12:30,31.51,79.05,
13/04/2024 12:20,31.55,78.99,
13/04/2024 12:10,31.59,78.93,
13/04/2024 12:00,31.23,79.07,
13/04/2024 11:50,31.29,79.12,
13/04/2024 11:40,31.34,79.16,
13/04/2024 11:30,31.39,79.2,
13/04/2024 11:20,31.45,79.25,
13/04/2024 11:10,31.5,79.29,
13/04/2024 11:00,31.55,79.33,
13/04/2024 10:50,31.61,79.38,
13/04/2024 10:40,31.66,79.42,
13/04/2024 10:30,31.71,79.46,
13/04/2024 10:20,31.28,79.4,
13/04/2024 10:10,31.32,79.34,
13/04/2024 10:00,31.35,79.28,
13/04/2024 9:50,31.39,79.23,
13/04/2024 9:40,31.42,79.17,
13/04/2024 9:30,31.46,79.11,
13/04/2024 9:20,31.49,79.06,
13/04/2024 9:10,31.53,79,
13/04/2024 9:00,31.56,78.94,
13/04/2024 8:50,31.59,78.89,
13/04/2024 8:40,31.75,79.63,
13/04/2024 8:30,31.71,79.57,
13/04/2024 8:20,31.67,79.52,
13/04/2024 8:10,31.63,79.47,
13/04/2024 8:00,31.59,79.42,
13/04/2024 7:50,31.56,79.36,
13/04/2024 7:40,31.52,79.31,
13/04/2024 7:30,31.48,79.26,
13/04/2024 7:20,31.44,79.21,
13/04/2024 7:10,31.41,79.16,
13/04/2024 7:00,31.53,79.68,
13/04/2024 6:50,31.49,79.57,
13/04/2024 6:40,31.46,79.46,
13/04/2024 6:30,31.43,79.35,
13/04/2024 6:20,31.39,79.24,
13/04/2024 6:10,31.36,79.14,
13/04/2024 6:00,31.33,79.03,
