Time,Temperature(℃),Humidity(%RH),MAC address(49:42:08:00:59:B8)
22/04/2024 5:00,32.5,23.45,
22/04/2024 4:50,32.53,23.56,
22/04/2024 4:40,32.57,23.67,
22/04/2024 4:30,32.61,23.78,
22/04/2024 4:20,32.65,23.89,
22/04/2024 4:10,32.68,24,
22/04/2024 4:00,32.41,23.95,
22/04/2024 3:50,32.46,24.09,
22/04/2024 3:40,32.5,24.23,
22/04/2024 3:30,32.54,24.37,
22/04/2024 3:20,32.59,24.51,
22/04/2024 3:10,32.63,24.64,
22/04/2024 3:00,32.67,24.78,
22/04/2024 2:50,32.72,24.92,
22/04/2024 2:40,32.76,25.06,
22/04/2024 2:30,32.8,25.19,
22/04/2024 2:20,32.84,24.88,
22/04/2024 2:10,32.8,25.01,
22/04/2024 2:00,32.77,25.14,
22/04/2024 1:50,32.74,25.27,
22/04/2024 1:40,32.71,25.4,
22/04/2024 1:30,32.67,25.53,
22/04/2024 1:20,32.64,25.66,
22/04/2024 1:10,32.61,25.79,
22/04/2024 1:00,32.58,25.92,
22/04/2024 0:50,32.55,26.04,
22/04/2024 0:40,32.43,26.01,
22/04/2024 0:30,32.48,26.23,
22/04/2024 0:20,32.52,26.45,
22/04/2024 0:10,32.56,26.67,
22/04/2024 0:00,32.6,26.89,
21/04/2024 23:50,32.64,27.11,
21/04/2024 23:40,32.68,27.33,
21/04/2024 23:30,32.72,27.55,
21/04/2024 23:20,32.76,27.77,
21/04/2024 23:10,32.8,27.98,
21/04/2024 23:00,32.8,27.67,
21/04/2024 22:50,32.74,27.95,
21/04/2024 22:40,32.69,28.22,
21/04/2024 22:30,32.64,28.49,
21/04/2024 22:20,32.59,28.76,
21/04/2024 22:10,32.54,29.04,
21/04/2024 22:00,32.49,29.31,
21/04/2024 21:50,32.44,29.58,
21/04/2024 21:40,32.39,29.85,
21/04/2024 21:30,32.34,30.12,
21/04/2024 21:20,32.61,29.69,
21/04/2024 21:10,32.55,29.58,
21/04/2024 21:00,32.5,29.47,
21/04/2024 20:50,32.44,29.36,
21/04/2024 20:40,32.39,29.25,
21/04/2024 20:30,32.33,29.14,
21/04/2024 20:20,32.28,29.03,
21/04/2024 20:10,32.22,28.92,
21/04/2024 20:00,32.17,28.81,
21/04/2024 19:50,32.12,28.7,
21/04/2024 19:40,32.74,28.9,
21/04/2024 19:30,32.69,29.07,
21/04/2024 19:20,32.64,29.23,
21/04/2024 19:10,32.59,29.39,
21/04/2024 19:00,32.54,29.55,
21/04/2024 18:50,32.5,29.72,
21/04/2024 18:40,32.45,29.88,
21/04/2024 18:30,32.4,30.04,
21/04/2024 18:20,32.35,30.2,
